题号,题干,A,B,C,D,E,答案,难度,题型
10173,对一个复杂用例中的业务处理流程进行进一步建模的最佳工具是UML（   ）,状态图,顺序图,类图,活动图,,,D,未分类,单选题
10174,"采用白盒测试方法对下图进行测试，设计了4个测试用例：①(x=0，y=3)，②( x=1, y=2)，③(x=-1，y=2)，④(x=3, y=1)。至少需要测试用例①②才能完成(     )覆盖。",语句,条件,判定／条件,路径,,,A,未分类,单选题
10175,1.非功能性需求包括？,性能,约束,对外接口,质量属性,,,ABCD,未分类,多选题
10176,2.在UML用例建模中，用例（Use Case）主要用于描述：,系统的功能,系统的用户,系统与外部系统的交互,系统内部的工作机制,,,AC,未分类,多选题
10177,3.经济可行性分析通常涉及哪些内容？,成本估算,收益预测,投资回报期分析,市场竞争力评估,风险评估,,ABCD,未分类,多选题
10178,4.以下哪些是白盒测试的挑战？,需要了解代码内部结构,测试用例设计复杂,难以发现与功能需求不符的问题,覆盖所有路径和条件困难,测试结果易受代码变化影响,,ABCD,未分类,多选题
10179,5.螺旋模型结合了哪些过程模型的特点？,瀑布模型,原型模型,增量模型,敏捷模型,喷泉模型,,AB,未分类,多选题
10180,6.下列哪项不是敏捷开发中的常见角色？,产品负责人,Scrum Master,项目经理,开发团队,,,C,未分类,多选题
10181,7.需求的层次分为,功能需求,业务需求,用户需求,系统需求,,,BCD,未分类,多选题
10182,8.面向对象分析中的协作关系可以通过哪些方式来表示？,类图,对象图,顺序图,活动图,状态图,,ABCDE,未分类,多选题
10183,1.经济可行性分析通常涉及哪些内容？ [cite: 54],成本估算,收益预测,投资回报期分析,市场竞争力评估,风险评估,,ABC,未分类,多选题
10184,2.以下哪些是白盒测试的挑战？ [cite: 57],需要了解代码内部结构,测试用例设计复杂,难以发现与功能需求不符的问题,覆盖所有路径和条件困难,测试结果易受代码变化影响,,ABCD,未分类,多选题
10185,3.面向对象分析中的协作关系可以通过哪些方式来表示？ [cite: 60],类图,对象图,顺序图,活动图,状态图,,ABCDE,未分类,多选题
10186,4.在选择软件工程过程模型时，应考虑哪些因素？ [cite: 63],项目规模,项目复杂性,团队经验,客户需求稳定性,开发工具和技术,,ABCDE,未分类,多选题
10187,5.需求的层次分为 [cite: 66],功能需求,业务需求,用户需求,系统需求,,,BCD,未分类,多选题
10188,6.经济可行性分析通常涉及哪些内容？ [cite: 69],成本估算,收益预测,投资回报期分析,市场竞争力评估,风险评估,,ABC,未分类,多选题
10189,7.非功能性需求包括？ [cite: 72],性能,约束,对外接口,质量属性,,,AD,未分类,多选题
10190,8.技术可行性分析主要包括哪些方面？ [cite: 75],评估现有技术是否能够满足项目需求,分析新技术的学习和掌握难度,确定项目所需的技术资源和人力资源,预测技术发展的趋势和可能的技术风险,,,ABCD,未分类,多选题
10191,需求的层次分为（）,功能需求,业务需求,用户需求,系统需求,,,BCD,未分类,多选题
10192,以下关于软件测试的叙述中，正确的是（   )。,软件测试不仅能表明软件中存在错误，也能说明软件中不存在错误,在一个被测程序段中，若已发现的错误越多，则残存的错误数越少,软件测试只能表明缺陷的存在，而不能证明软件产品已经没有缺陷,要集中测试容易出错或错误较多的模块,,,C,未分类,多选题
10193,下列系统设计 tools 中，哪些不属于详细设计 tools。,N—S图,数据流图,程序流程图,PAD图,状态转换图,,B,未分类,多选题
10194,以下关于软件测试的叙述中，错误的是（   )。,软件测试不仅能表明软件中存在错误，也能说明软件中不存在错误,一个成功的测试能发现至今未发现的错误,在一个被测程序段中，若已发现的错误越多，则残存的错误数越少,软件测试只能表明缺陷的存在，而不能证明软件产品已经没有缺陷,完全测试是不可能的,,AC,未分类,多选题
10195,下列系统设计 tools 中，哪些属于详细设计 tools。,N—S图,数据流图,程序流程图,PAD,状态转换图,,ACD,未分类,多选题
10196,需求的层次分为(   ),业务需求,用户需求,功能需求,非功能需求,系统需求,,ABCE,未分类,多选题
10197,1. 软件测试是软件开发过程中一个独立的、与其他阶段无关的阶段,正确,错误,,,,,B,未分类,判断题
10198,2. 在用例图中，一个参与者可以与多个用例相关联，表示该参与者可以触发多个功能,正确,错误,,,,,A,未分类,判断题
10199,3. 敏捷开发方法中的"自组织团队"意味着团队成员可以自由地选择他们想要完成的任务和工作方式,正确,错误,,,,,A,未分类,判断题
10200,4.用例之间有扩展、使用、组合等几种关系。,正确,错误,,,,,A,未分类,判断题
10201,5.判定表的优点是容易转换为计算机实现，缺点是不能描绘组合条件。,正确,错误,,,,,B,未分类,判断题
10202,6. 结构化方法不适用于大型、复杂的软件开发项目,正确,错误,,,,,B,未分类,判断题
10203,7. 原型模型是一种快速开发软件的方法，它允许在开发过程中进行多次迭代和修改,正确,错误,,,,,A,未分类,判断题
10204,1. 用例图只能用于描述系统的功能需求，不能用于描述非功能需求 [cite: 79],正确,错误,,,,,B,未分类,判断题
10205,2. 敏捷开发方法强调快速响应变化，因此不需要进行详细的需求分析 [cite: 82],正确,错误,,,,,B,未分类,判断题
10206,3.投资回收期越长，获得利润就越快，项目越值得开发。 [cite: 85],正确,错误,,,,,B,未分类,判断题
10207,4.顺序图用于描述对象是如何交互的且将重点放在消息序列上。 [cite: 88],正确,错误,,,,,A,未分类,判断题
10208,5.需求分析是开发方的工作，用户的参与度不大。 [cite: 91],正确,错误,,,,,B,未分类,判断题
10209,6.软件工程学科出现的主要原因是软件危机出现 [cite: 94],正确,错误,,,,,A,未分类,判断题
10210,7. 软件测试是软件开发过程中一个独立的、与其他阶段无关的阶段 [cite: 97],正确,错误,,,,,B,未分类,判断题
10211,判定表的优点是容易转换为计算机实现，缺点是不能够描述组合条件。,正确,错误,,,,,B,结构化分析,判断题
10212,面向对象的开发，对象分解取代功能分解。,正确,错误,,,,,A,面向对象方法,判断题
10213,UML 顺序图通过描述类间的消息传递，进而来刻画类与类之间如何通过交互和协作来实现用例功能。,正确,错误,,,,,A,UM,判断题
10214,安全性（如确保隐私和防止非法访问）也是一种软件需求。,正确,错误,,,,,A,需求分析,判断题
10215,软件文档、程序代码、测试用例等均可作为软件配置项纳入配置管理。,正确,错误,,,,,A,软件工程概述,判断题
10216,瀑布模型的最大优点是将软件开发的各个阶段划分得十分清晰。,正确,错误,,,,,B,软件过程,判断题
10217,需求分析的主要目的是解决软件开发的具体方案。,正确,错误,,,,,B,需求分析,判断题
10218,划分模块可以降低软件的复杂度和工作量，所以应该将模块分得越小越好。,正确,错误,,,,,B,结构化设计,判断题
10219,在软件开发过程中，系统测试阶段的测试目标来自于需求分析阶段。,正确,错误,,,,,A,软件测试,判断题
10220,需求规格说明书在软件开发中具有重要的作用，它也可以作为软件可行性研究的依据。,正确,错误,,,,,B,未分类,判断题
10221,划分模块可以降低软件的复杂度和工作量，所以应该将模块分得越小越好。,正确,错误,,,,,B,软件过程,判断题
10222,在软件开发过程中，系统测试阶段的测试目标来自于需求分析阶段。,正确,错误,,,,,A,未分类,判断题
10223,判定表的优点是容易转换为计算机实现，缺点是不能够描述组合条件。,正确,错误,,,,,B,结构化分析,判断题
10224,面向对象的开发，对象分解取代功能分解。,正确,错误,,,,,A,未分类,判断题
10225,UML 顺序图通过描述类间的消息传递，进而来刻画类与类之间如何通过交互和协作来实现用例功能。,正确,错误,,,,,A,未分类,判断题
10226,软件工程学科出现的主要原因是软件危机的出现。,正确,错误,,,,,A,软件工程概述,判断题
10227,螺旋模型是利用笛卡尔坐标的四个象限分别代表四个方面的活动来表示。,正确,错误,,,,,B,软件过程,判断题
10228,划分模块可以降低软件的复杂度和工作量，所以应该将模块分得越小越好,正确,错误,,,,,B,结构化设计,判断题
10229,等价类划分法是一种最常用的黑盒测试技术。,正确,错误,,,,,A,软件测试,判断题
10230,在详细设计中常采用的 tools 有层次图、PAD（问题分析图）、程序流程图、盒图等。,正确,错误,,,,,A,结构化设计,判断题
10231,需求规格说明书描述了系统每个功能的实现,正确,错误,,,,,B,需求分析,判断题
10232,面向对象分析方法与结构化分析方法的主要区别是：一个使用了"抽象"，一个没有使用"抽象"。,正确,错误,,,,,B,面向对象方法,判断题
10233,结构化设计方法是面向数据流的设计方法。,正确,错误,,,,,A,结构化设计,判断题
10234,软件开发的主要任务是写程序。,正确,错误,,,,,B,软件工程概述,判断题
10235,可行性研究的目的不是解决问题，而是确定问题是否值得去解。,正确,错误,,,,,A,可行性分析,判断题
10236,面向对象分析方法与结构化分析方法的主要区别是：一个使用了"抽象"，一个没有使用"抽象"。,正确,错误,,,,,B,需求分析,判断题
10237,划分模块可以降低软件的复杂度和工作量，所以应该将模块分得越小越好,正确,错误,,,,,B,结构化设计,判断题
10238,等价类划分法是一种最常用的黑盒测试技术。,正确,错误,,,,,A,软件测试,判断题
10239,模块化原则仅适合于结构化软件设计，不适合面向对象的软件设计,正确,错误,,,,,B,结构化设计,判断题
10240,软件项目开发时间与从事开发工作的人数并不成反比关系。,正确,错误,,,,,A,软件测试,判断题
10241,瀑布模型的最大优点是将软件开发的各个阶段划分得十分清晰,正确,错误,,,,,B,软件过程,判断题
10242,瀑布模型的最大优点是将软件开发的各个阶段划分得十分清晰。,正确,错误,,,,,B,软件过程,判断题
10243,需求分析的主要目的是解决软件开发的具体方案。,正确,错误,,,,,B,需求分析,判断题
10244,划分模块可以降低软件的复杂度和工作量，所以应该将模块分得越小越好。,正确,错误,,,,,B,结构化设计,判断题
10245,所有的测试都应该能追溯到用户需求。,正确,错误,,,,,A,软件测试,判断题
10246,在软件开发过程中，系统测试阶段的测试目标来自于需求分析阶段。,正确,错误,,,,,A,软件测试,判断题
10247,螺旋模型是在瀑布模型和增量模型的基础上增加了风险分析活动。,正确,错误,,,,,A,软件过程,判断题
10248,需求规格说明书在软件开发中具有重要的作用，它也可以作为软件可行性研究的依据。,正确,错误,,,,,B,需求分析,判断题
10249,所有的测试都应该能追溯到用户需求。,正确,错误,,,,,A,软件测试,判断题
10250,在软件开发过程中，系统测试阶段的测试目标来自于需求分析阶段。,正确,错误,,,,,A,软件测试,判断题
10251,结构化分析中，需求分析的结果通常以数据流图的形式呈现。,正确,错误,,,,,B,未分类,判断题
10252,安全性（如确保隐私和防止非法访问）也是一种软件需求。,正确,错误,,,,,A,未分类,判断题
10253,软件文档、程序代码、测试用例等均可作为软件配置项纳入配置管理。,正确,错误,,,,,A,未分类,判断题
10254,白盒法又称为逻辑覆盖法，主要用于系统测试。,正确,错误,,,,,B,未分类,判断题
10255,UML 用例文档中，扩展路径用于标识用例的关键执行步骤。,正确,错误,,,,,B,未分类,判断题
10256,在敏捷开发中，Scrum 是一种用于迭代和自组织的开发过程框架。,正确,错误,,,,,A,未分类,判断题
10257,软件危机是指计算机硬件发展的太快，软件开发跟不上硬件的更新,正确,错误,,,,,B,未分类,判断题
10258,模块独立要求低耦合高内聚。,正确,错误,,,,,A,未分类,判断题
10259,信息建模方法是从数据的角度来建立信息模型的，最常用的描述信息模型的方法是实体关系图,正确,错误,,,,,A,未分类,判断题
10260,结构化分析中，需求分析的结果通常以数据流图的形式呈现。,正确,错误,,,,,B,未分类,判断题
10261,软件工程学科出现的主要原因是软件危机的出现。,正确,错误,,,,,A,未分类,判断题
10262,敏捷开发强调在项目周期中早期、频繁地交付可工作的软件。,正确,错误,,,,,A,未分类,判断题
10263,UML 用例文档中，扩展路径用于标识用例的关键执行步骤。,正确,错误,,,,,B,未分类,判断题
10264,模块独立要求高耦合低内聚,正确,错误,,,,,B,未分类,判断题
10265,白盒法又称为逻辑覆盖法，主要用于单元测试。,正确,错误,,,,,A,未分类,判断题
10266,信息建模方法是从数据的角度来建立信息模型的，最常用的描述信息模型的方法是E-R图,正确,错误,,,,,A,未分类,判断题
