题号,题干,A,B,C,D,E,答案,难度,题型
209,软件设计分为概要设计和详细设计，其中体系结构设计属于哪个阶段？,概要设计,详细设计,需求分析,编码,,A,结构化设计,单选题
210,在数据库设计中，使用E-R图进行设计属于哪个阶段？,概念结构设计,逻辑结构设计,物理结构设计,需求分析,,A,结构化分析,单选题
211,在E-R图中，客观世界中存在的且可区分的事物，通常用什么图形表示？,菱形,椭圆形,矩形,带箭头的线,,C,结构化分析,单选题
212,当算法中包含多重嵌套条件选择，最适合使用哪种工具来清晰地表示复杂的条件组合与应做的动作？,结构化语言,判定表,数据流图,E-R图,,B,结构化分析,单选题
213,在数据流图的命名规则中，“加工”的名称通常应采用什么格式？,名词,动词,动宾词组,形容词,,C,结构化分析,单选题
214,用于描绘系统状态和在不同状态间转换方式的行为模型是？,数据流图,E-R图,状态转换图,Warnier图,,C,结构化分析,单选题
215,结构化分析方法采用的策略是？,自底向上，逐层合并,面向对象，封装继承,快速原型，迭代演化,自顶向下，逐层分解,,D,结构化分析,单选题
216,在E-R图中，“联系”通常用什么图形表示？,矩形,椭圆形,圆形,菱形,,D,结构化分析,单选题
217,在DFD中，父图与子图之间必须保持平衡，这指的是什么？,父图与子图的加工数量必须相同,子图的输入输出数据流必须与其父图中对应加工的输入输出数据流一致,父图与子图的抽象层次必须相同,父图与子图的数据存储数量必须相同,,B,结构化分析,单选题
218,在需求层次中，业务需求记录在（）。,前景和范围文档,用户需求文档,软件需求规格说明书,测试计划文档,,A,需求分析,单选题
219,系统需求反映的是（）。,外界与系统交互行为,用户个人偏好,市场推广策略,投资回报预期,,A,需求分析,单选题
220,用户需求通常通过（）获取。,需求获取过程,系统编码,可行性分析,成本估算,,A,需求分析,单选题
221,以下哪项不属于非功能需求中的约束？,用户登录流程,编程语言,硬件设施,法律法规,,A,需求分析,单选题
222,货币时间价值公式中，如果现在存入P元，n年后可得到的钱数F等于（）。,P*(1+i)^n,P/(1+i)^n,P*(1-i)^n,P/(1-i)^n,,A,可行性分析,单选题
223,需求工程包括需求开发和（）。,需求管理,需求编码,需求测试,需求部署,,A,需求分析,单选题
224,纯收入小于零时，项目（）。,不值得投资开发,值得投资开发,需要重新设计,可以继续推进,,A,可行性分析,单选题
225,可行性研究结论不包括（）。,系统详细设计,可行，按计划进行,基本可行，需修改解决方案,不可行，终止项目,,A,可行性分析,单选题
226,软件设计分为概要设计和详细设计，其中体系结构设计属于哪个阶段？,概要设计,详细设计,需求分析,编码,,A,结构化设计,单选题
227,在结构化设计中，主要依据结构化分析的哪个成果来设计软件结构？,E-R图,状态转换图,数据字典,数据流图,,D,结构化设计,单选题
228,数据流图可以分为变换型和事务型，其中变换型数据流图的特征是？,将输入流分散成多个路径,信息沿输入路径流入，处理后沿输出路径流出,包含一个事务中心,没有数据处理过程,,B,结构化设计,单选题
229,在面向数据流的设计方法中，将数据流图映射为软件结构的过程称为？,变换分析和事务分析,数据建模,过程设计,接口设计,,A,结构化设计,单选题
230,美国IBM公司发明的，由层次图和输入/处理/输出图组成的图形工具是？,结构图,层次图,HIPO图,N-S图,,C,结构化设计,单选题
231,在数据库设计中，使用E-R图进行设计属于哪个阶段？,概念结构设计,逻辑结构设计,物理结构设计,需求分析,,A,结构化分析,单选题
232,在数据库逻辑结构设计中，对于M:N的关系，通常如何映射为关系表？,将N方的码加入M方的表中,将M方的码加入N方的表中,创建一个新的关系表，包含M方和N方的主码,合并M方和N方的表,,C,结构化设计,单选题
233,过程设计的主要任务是确定模块的？,外部接口,调用关系,内部算法和数据结构,在系统中的位置,,C,结构化设计,单选题
234,在模块内部，一个成分的输出作为另一个成分的输入，这种内聚称为？,功能内聚,顺序内聚,通信内聚,过程内聚,,B,结构化设计,单选题
235,Google提出的，核心思想是把物理世界的体验带进屏幕，并重视动画效果的设计语言是？,扁平化设计,拟物化设计,Material Design,Metro UI,,C,结构化设计,单选题
236,交互设计原则中，“让用户可以自由地确定或取消操作，避免强制性选项”，这指的是？,可用原则,预期原则,可控原则,精简原则,,C,结构化设计,单选题
237,“界面风格的一致性、布局的一致性、功能的一致性”等属于交互设计的哪个原则？,优美原则,防错原则,易用性原则,一致原则,,D,结构化设计,单选题
238,“逐步求精”是哪个设计原则的逆过程？,模块化,信息隐藏,抽象,复用性,,C,结构化设计,单选题
239,下列哪个工具不用于过程设计？,程序流程图,N-S图（盒图）,PAD图,结构图,,D,结构化设计,单选题
240,“模块仅仅公开必须让外界知道的信息，而将其他信息隐藏起来”，这描述的是哪个设计原则？,模块化,抽象,信息隐藏,逐步求精,,C,结构化设计,单选题
241,Google提出的，核心思想是把物理世界的体验带进屏幕，并重视动画效果的设计语言是？,扁平化设计,拟物化设计,Material Design,Metro UI,,C,结构化设计,单选题
242,“拟物化”UI设计风格的特点是？,摒弃高光、阴影等视觉效果,通过抽象、简化、符号化的设计来表现,将生活中的具体实物真实地表现出来,使用较少的颜色和简单的元素,,C,结构化设计,单选题
243,一个模块包含了“计算平均工资”和“产生工资报表”两个功能，它们都使用了相同的输入数据“员工工资记录”，这属于什么内聚？,顺序内聚,通信内聚,功能内聚,过程内聚,,B,结构化设计,单选题
244,如果两个模块之间通过传递一个开关量来决定另一个模块的执行路径，这属于？,数据耦合,控制耦合,特征耦合,公共耦合,,B,结构化设计,单选题
245,从关注问题本质的宏观概念入手，暂时忽略非本质细节，这种方法是？,模块化,逐步求精,信息隐藏,抽象,,D,结构化设计,单选题
246,将已有的软件成分用于构造新的软件系统，这体现了什么设计原则？,复用性原则,灵活性原则,抽象原则,信息隐藏原则,,A,结构化设计,单选题
247,与拟物化设计相对，摒弃高光、阴影、渐变等效果，呈现统一干练视觉效果的设计风格是？,Material Design,扁平化风格,工业设计风格,复古风格,,B,结构化设计,单选题
248,在状态转换图中，带箭头的线表示什么？,系统的状态,状态的转换,触发事件,执行的操作,,B,结构化分析,单选题
249,以下哪个工具不属于结构化分析的图形工具？,层次方框图,Warnier图,IPO图,流程图,,D,结构化分析,单选题
250,结构化分析阶段的最终成果是？,可执行程序,项目开发计划,目标系统的逻辑模型,用户手册,,C,结构化分析,单选题
251,判定树是哪种工具的变种？,数据流图,E-R图,判定表,状态转换图,,C,结构化分析,单选题
252,对DFD中最底层的基本加工进行详细说明的文档称为？,数据字典,加工规格说明,E-R图,状态转换图,,B,结构化分析,单选题
253,DFD图中的数据存储（文件）不能与下列哪个元素直接相连？,加工,另一个数据存储,外部实体,B和C都不能,,D,结构化分析,单选题
254,在E-R图中，“属性”通常用什么图形表示？,矩形,菱形,椭圆形,直线,,C,结构化分析,单选题
255,在DFD中，一个加工至少需要有？,一个输入数据流,一个输出数据流,一个输入和一个输出数据流,一个数据存储,,C,结构化分析,单选题
256,在状态转换图中，带箭头的线表示什么？,系统的状态,状态的转换,触发事件,执行的操作,,B,结构化分析,单选题
257,以下哪个工具不属于结构化分析的图形工具？,层次方框图,Warnier图,IPO图,流程图,,D,结构化分析,单选题
258,结构化分析阶段的最终成果是？,可执行程序,项目开发计划,目标系统的逻辑模型,用户手册,,C,结构化分析,单选题
259,判定树是哪种工具的变种？,数据流图,E-R图,判定表,状态转换图,,C,结构化分析,单选题
260,在E-R图中，“属性”通常用什么图形表示？,矩形,菱形,椭圆形,直线,,C,结构化分析,单选题
261,在DFD中，一个加工至少需要有？,一个输入数据流,一个输出数据流,一个输入和一个输出数据流,一个数据存储,,C,结构化分析,单选题
262,对DFD中最底层的基本加工进行详细说明的文档称为？,数据字典,加工规格说明,E-R图,状态转换图,,B,结构化分析,单选题
263,DFD图中的数据存储（文件）不能与下列哪个元素直接相连？,加工,另一个数据存储,外部实体,B和C都不能,,D,结构化分析,单选题
264,在数据流图中，仅包含一个数据处理过程（即目标系统）的图是？,1层数据流图,底层数据流图,环境图（0层数据流图）,2层数据流图,,C,结构化分析,单选题
265,结构化分析方法采用的策略是？,自底向上，逐层合并,面向对象，封装继承,快速原型，迭代演化,自顶向下，逐层分解,,D,结构化分析,单选题
266,用于描绘系统状态和在不同状态间转换方式的行为模型是？,数据流图,E-R图,状态转换图,Warnier图,,C,结构化分析,单选题
267,在数据流图的命名规则中，“加工”的名称通常应采用什么格式？,名词,动词,动宾词组,形容词,,C,结构化分析,单选题
268,当算法中包含多重嵌套条件选择，最适合使用哪种工具来清晰地表示复杂的条件组合与应做的动作？,结构化语言,判定表,数据流图,E-R图,,B,结构化分析,单选题
269,在E-R图中，客观世界中存在的且可区分的事物，通常用什么图形表示？,菱形,椭圆形,矩形,带箭头的线,,C,结构化分析,单选题
270,在结构化分析中，用于描绘数据在软件中移动和变换的功能模型是？,E-R图,状态转换图,数据流图（DFD）,数据字典,,C,结构化分析,单选题
271,系统需求反映的是（）。,外界与系统交互行为,用户个人偏好,市场推广策略,投资回报预期,,A,需求分析,单选题
272,纯收入是指（）。,累计经济效益与投资之差,系统总收入,系统净利润,用户付费总额,,A,可行性分析,单选题
273,投资回收期是指（）。,累计经济效益等于最初投资所需的时间,系统开始盈利的时间,系统开发完成的时间,系统维护结束的时间,,A,可行性分析,单选题
274,货币的时间价值通常用（）表示。,利率,汇率,通货膨胀率,税收率,,A,可行性分析,单选题
275,可行性研究的目的是（）。,确定系统是否值得开发,用最小的代价最短的时间确定问题是否能够解决,分析系统的技术实现难度,评估系统的市场前景,,B,可行性分析,单选题
276,以下哪项不属于可行性分析的内容？,战略可行性,操作可行性,代码可行性,经济可行性,,C,可行性分析,单选题
277,经济可行性分析主要进行（）。,成本-效益分析,技术实现评估,用户需求调研,法律合规检查,,A,可行性分析,单选题
278,成本估算中，任务分解技术的第一步是（）。,将项目分解为相对独立的任务,直接计算总成本,估算代码行数,分析市场行情,,A,可行性分析,单选题
279,描述用户使用产品必须完成的任务的需求是？,业务需求,用户需求,系统需求,功能需求,,B,需求分析,单选题
280,需求工程由需求开发和什么组成？,需求设计,需求编码,需求测试,需求管理,,D,需求分析,单选题
281,通过为客户演示原型系统来获取需求的获取方法是？,问卷调查法,原型法,小组专题讨论会,参观工作流程,,B,需求分析,单选题
282,根据卡内基梅隆大学的调研，导致软件项目失败的首要原因是什么？,缺乏合格的项目经理,不充分的需求规范,团队缺乏经验,缺乏软件工程师,,B,需求分析,单选题
283,“系统的可用性要达到98%”属于哪一类非功能需求？,性能需求,质量属性,对外接口,约束,,B,需求分析,单选题
284,用于记录业务需求的文档通常是？,软件需求规格说明书,用户需求文档,前景和范围文档,详细设计说明书,,C,需求分析,单选题
285,在可行性研究中，分析系统在现有资源和技术条件下能否实现，属于哪种可行性分析？,经济可行性,操作可行性,社会可行性,技术可行性,,D,可行性分析,单选题
286,系统需求反映的是（）。,外界与系统交互行为,用户个人偏好,市场推广策略,投资回报预期,,A,需求分析,单选题
287,用户需求通常通过（）获取。,需求获取过程,系统编码,可行性分析,成本估算,,A,需求分析,单选题
288,在需求层次中，业务需求记录在（）。,前景和范围文档,用户需求文档,软件需求规格说明书,测试计划文档,,A,需求分析,单选题
289,可行性研究结论不包括（）。,系统详细设计,可行，按计划进行,基本可行，需修改解决方案,不可行，终止项目,,A,可行性分析,单选题
290,以下哪项不属于非功能需求中的约束？,用户登录流程,编程语言,硬件设施,法律法规,,A,需求分析,单选题
291,需求工程包括需求开发和（）。,需求管理,需求编码,需求测试,需求部署,,A,需求分析,单选题
292,纯收入小于零时，项目（）。,不值得投资开发,值得投资开发,需要重新设计,可以继续推进,,A,可行性分析,单选题
293,需求分析的主要目的是（）。,确定系统必须做什么,确定系统如何实现,评估系统经济效益,制定系统测试计划,,A,需求分析,单选题
294,系统需求描述的是（）。,用户对系统行为的期望,系统的市场推广策略,系统的投资回报率,系统的维护计划,,A,需求分析,单选题
295,用户需求描述的是（）。,用户使用产品必须完成的任务,系统的技术实现细节,系统的经济效益目标,系统的法律合规要求,,A,需求分析,单选题
296,业务需求通常来自（）。,项目投资人、客户管理者、市场营销部门,软件开发人员,系统测试人员,最终用户,,A,需求分析,单选题
297,以下哪项是软件项目失败的主要原因？,不充分的需求规范,技术实现难度大,开发人员数量不足,硬件设备老旧,,A,需求分析,单选题
298,操作可行性研究关注（）。,系统在实际环境中的使用情况,系统的技术实现难度,系统的法律合规性,系统的市场竞争力,,A,可行性分析,单选题
299,技术可行性分析主要根据（）分析系统能否实现。,系统功能、性能和约束条件,用户数量和市场规模,法律和政策环境,投资金额和回收期,,A,可行性分析,单选题
300,非功能需求不包括（）。,用户登录功能,性能需求,质量需求,对外接口,,A,需求分析,单选题
301,在整个生存周期内，系统的累计经济效益与投资之差被称为？,投资回收期,毛利润,纯收入,机会成本,,C,可行性分析,单选题
302,需求开发过程不包括以下哪个活动？,需求获取,需求分析,需求变更控制,需求验证,,C,需求分析,单选题
303,通过为客户演示原型系统来获取需求的获取方法是？,问卷调查法,原型法,小组专题讨论会,参观工作流程,,B,需求分析,单选题
304,根据卡内基梅隆大学的调研，导致软件项目失败的首要原因是什么？,缺乏合格的项目经理,不充分的需求规范,团队缺乏经验,缺乏软件工程师,,B,需求分析,单选题
305,“系统的可用性要达到98%”属于哪一类非功能需求？,性能需求,质量属性,对外接口,约束,,B,需求分析,单选题
306,需求工程由需求开发和什么组成？,需求设计,需求编码,需求测试,需求管理,,D,需求分析,单选题
307,“服务器必须用Linux系统”这个需求属于？,功能需求,性能需求,质量属性,约束,,D,需求分析,单选题
308,用于记录业务需求的文档通常是？,软件需求规格说明书,用户需求文档,前景和范围文档,详细设计说明书,,C,需求分析,单选题
309,在可行性研究中，分析系统在现有资源和技术条件下能否实现，属于哪种可行性分析？,经济可行性,操作可行性,社会可行性,技术可行性,,D,可行性分析,单选题
310,可行性研究是项目立项哪个过程的核心部分？,项目发起,项目论证,项目审核,项目立项,,B,可行性分析,单选题
311,"“服务器cpu性能必须高于i3,内存大于8G”属于哪种需求？",性能需求,硬件接口,约束,功能需求,,C,需求分析,单选题
312,需求验证的目标不包括？,一致性,完整性,现实性,盈利性,,D,需求分析,单选题
313,“管理系统和后台之间数据传输必须要用JSON格式”属于哪类需求？,质量属性,对外接口,性能需求,业务需求,,B,需求分析,单选题
314,以下哪项不是常见的需求获取方法？,与用户交谈,竞品分析,编写代码,原型法,,C,需求分析,单选题
315,在估算项目人力成本时，哪个阶段通常占比最高？,需求分析,设计,编码,测试和调试,,D,可行性分析,单选题
316,下列哪项是面向对象开发模型的代表？,瀑布模型,喷泉模型,螺旋模型,增量模型,,B,软件过程,单选题
317,下列哪项不是软件工程的基本目标？,付出较低的开发成本,开发出高质量的软件,追求最新的技术,按时完成开发工作,,C,软件工程概述,单选题
318,下列哪项是软件工程知识体系的组成部分？,软件需求,硬件设计,机械工程,电路分析,,A,软件工程概述,单选题
319,下列哪项不是敏捷开发方法？,Scrum,XP,瀑布模型,Crystal,,C,软件过程,单选题
320,下列哪项是软件生命周期中的阶段？,需求分析,市场销售,用户培训,广告推广,,A,软件过程,单选题
321,下列哪项是快速原型模型的特点？,适用于需求稳定的项目,快速响应用户反馈,强调完整文档,阶段间严格顺序,,B,软件过程,单选题
322,下列哪项是软件工程的基本原则？,避免阶段评审,采用传统编程技术,坚持阶段评审,开发小组人员多而杂,,C,软件工程概述,单选题
323,下列哪项是配置管理工具？,JUnit,Visio,Git,Axure,,C,软件工程概述,单选题
324,在软件维护类型中，为了适应软硬件环境的变化而进行的维护活动属于？,改正性维护,适应性维护,完善性维护,预防性维护,,B,软件过程,单选题
325,瀑布模型最大的缺点是？,开发成本高,开发周期长,文档要求多,缺乏灵活性，无法适应需求变更,,D,软件过程,单选题
326,以下哪项不是软件的固有特点？,软件是一种逻辑实体，具有抽象性,软件在使用过程中会产生磨损和老化,软件是设计开发的，而不是生产制造的,软件的开发尚未完全摆脱人工方式,,B,软件工程概述,单选题
327,“可以工作的软件胜过面面俱到的文档”是下列哪项的核心价值观之一？,瀑布模型,软件工程,敏捷宣言,螺旋模型,,C,软件过程,单选题
328,哪种软件过程模型将风险分析作为其核心组成部分，并沿着螺线进行迭代？,瀑布模型,增量模型,螺旋模型,快速原型模型,,C,软件过程,单选题
329,软件危机出现的时期是？,20世纪50年代中期,20世纪60年代中期,20世纪70年代中期,20世纪80年代中期,,B,软件工程概述,单选题
330,在软件生命周期中，能够准确地确定软件系统必须做什么和必须具备哪些功能的阶段是？,可行性分析,概要设计,需求分析,详细设计,,C,软件过程,单选题
331,在可行性研究中，分析系统在现有资源和技术条件下能否实现，属于哪种可行性分析？,经济可行性,操作可行性,社会可行性,技术可行性,,D,可行性分析,单选题
332,使累计的经济效益等于最初投资费用所需要的时间，这个指标被称为？,纯收入,投资回收期,项目周期,效益周期,,B,可行性分析,单选题
333,以下哪项不是常见的需求获取方法？,与用户交谈,竞品分析,编写代码,原型法,,C,需求分析,单选题
334,在需求工程中，所有需求处理活动的总和被称为？,需求获取,需求分析,需求工程,需求管理,,C,需求分析,单选题
335,“系统应该允许10000用户同时访问”属于哪一类需求？,功能需求,性能需求,约束,对外接口需求,,B,需求分析,单选题
336,描述组织或客户高层次目标，说明为什么要开发系统的需求属于？,用户需求,业务需求,系统需求,非功能需求,,B,需求分析,单选题
337,在进行成本效益分析时，需要考虑货币的时间价值，其原因是？,通货膨胀是不可避免的,投资是现在进行的，而效益是将来获得的,银行利率总是在变化,项目成本会随时间增加,,B,可行性分析,单选题
338,可行性研究的目的是什么？,详细设计软件的架构,编写完整的项目代码,用最小的代价和最短的时间确定问题是否能解决,直接开始软件开发以节省时间,,C,可行性分析,单选题
339,下列哪项是软件危机的主要表现？,软件开发成本低,软件质量可靠,用户不满意,开发进度准确,,C,软件工程概述,单选题
340,软件工程概念的首次提出是在哪一年？,1968年,1975年,1980年,1990年,,A,软件工程概述,单选题
341,下列哪项是软件生命周期的阶段？,软件测试,硬件测试,机械测试,电路测试,,A,软件过程,单选题
342,下列哪项是软件工程的原则？,避免版本控制,采用落后程序设计技术,实行严格版本控制,开发人员多而杂,,C,软件工程概述,单选题
343,下列哪项是软件工程的工具？,JUnit,MySQL,Spring,HTML,,A,软件工程概述,单选题
344,下列哪项是软件过程模型？,瀑布模型,机械模型,电路模型,建筑模型,,A,软件过程,单选题
345,下列哪项是软件工程的定义？,软件工程是编写代码的艺术,软件工程是建立和使用工程规则以获得可靠软件,软件工程是硬件设计的延伸,软件工程是机械工程的分支,,B,软件工程概述,单选题
346,下列哪项是软件分类的方式？,按照软件的功能,按照软件的颜色,按照软件的大小,按照软件的价格,,A,软件工程概述,单选题
347,下列哪项是软件工程的发展阶段？,结构化开发方法,手工艺时代,工业化生产,农业化种植,,A,软件工程概述,单选题
348,下列哪项是软件工程的目标？,增加开发成本,降低软件质量,取得较好软件性能,延长开发时间,,C,软件工程概述,单选题
349,下列哪项是软件工程的原则？,避免版本控制,采用落后程序设计技术,实行严格版本控制,开发人员多而杂,,C,软件工程概述,单选题
350,下列哪项是软件工程的工具？,JUnit,MySQL,Spring,HTML,,A,软件工程概述,单选题
351,下列哪项是软件过程模型？,瀑布模型,机械模型,电路模型,建筑模型,,A,软件过程,单选题
352,下列哪项是软件生命周期的阶段？,软件测试,硬件测试,机械测试,电路测试,,A,软件过程,单选题
353,下列哪项是敏捷开发的特点？,文档驱动,响应变化,严格计划,阶段评审,,B,软件过程,单选题
354,下列哪项是软件工程的定义？,软件工程是编写代码的艺术,软件工程是建立和使用工程规则以获得可靠软件,软件工程是硬件设计的延伸,软件工程是机械工程的分支,,B,软件工程概述,单选题
355,下列哪项是软件开发方法？,结构化方法,硬件设计方法,机械加工方法,电路设计方法,,A,软件工程概述,单选题
356,下列哪项是敏捷宣言的原则之一？,严格的文档驱动,遵循初始计划,尽早持续交付有价值软件,过程重于个体,,C,软件过程,单选题
357,下列哪项不是软件工程的基本目标？,付出较低的开发成本,开发出高质量的软件,追求最新的技术,按时完成开发工作,,C,软件工程概述,单选题
358,下列哪项是面向对象开发模型的代表？,瀑布模型,喷泉模型,螺旋模型,增量模型,,B,软件过程,单选题
359,下列哪项不是软件工程的工具？,Git,Axure,MySQL,Scrum,,D,软件工程概述,单选题
360,下列哪项是增量模型的优点？,一次性交付完整产品,降低项目风险,适用于小型项目,无需用户参与,,B,软件过程,单选题
361,在状态图中，入口动作的表示方式是？,do/动作,exit/动作,entry/动作,event/动作,,C,UML,单选题
362,UML类图中，表示继承关系的是？,依赖关系,实现关系,泛化关系,关联关系,,C,UML,单选题
363,在活动图中，用于分割活动图并明确活动负责对象的元素是？,判定,同步条,泳道,守护条件,,C,UML,单选题
364,顺序图中，表示消息发送者暂停活动等待回应的消息类型是？,异步消息,同步消息,返回消息,创建消息,,B,UML,单选题
365,在UML类图中，表示整体与部分关系且部分可以独立存在的关系是？,依赖关系,组合关系,聚合关系,泛化关系,,C,UML,单选题
366,下列哪种UML图用于描述系统的硬件配置和软件部署？,类图,部署图,状态图,活动图,,B,UML,单选题
367,在UML状态图中，表示状态图起始位置的是什么？,终止状态,初始状态,一般状态,复合状态,,B,UML,单选题
368,下列哪种UML图用于描述软件系统的物理组成部件？,类图,组件图,部署图,对象图,,B,UML,单选题
369,在顺序图中，带有普通箭头的实线表示什么消息？,同步消息,异步消息,返回消息,创建消息,,B,UML,单选题
370,在状态图中，`[监护条件]`的作用是？,触发状态转移的事件,状态转移时执行的动作,描述状态转移是否可以发生的前提,表示一个状态的名称,,C,UML,单选题
371,在类图中，表示实现关系的符号是？,带空心三角形的实线,带空心三角形的虚线,带实心菱形的实线,带箭头的虚线,,B,UML,单选题
372,在状态图中，`do/活动`表示什么？,进入该状态时执行一次的动作,退出该状态时执行一次的动作,系统处于该状态时持续进行的活动,触发状态转移的事件,,C,UML,单选题
373,在UML中，`1..*`的多重性表示？,零个或一个,只有一个,零个或多个,一个或多个,,D,UML,单选题
374,UML静态建模对应于UML五视图中的哪个视图？,用户视图,结构视图,行为视图,环境视图,,B,UML,单选题
375,哪个图不属于UML的交互图？,顺序图,通信图,定时图,类图,,D,UML,单选题
376,下列哪种关系是依赖关系的特例？,泛化关系,实现关系,关联关系,包含关系,,C,UML,单选题
377,下列哪种UML图用于描述软件系统的物理组成部件？,类图,组件图,部署图,对象图,,B,UML,单选题
378,在UML状态图中，表示状态图起始位置的是什么？,终止状态,初始状态,一般状态,复合状态,,B,UML,单选题
379,下列哪种UML图用于描述系统的硬件配置和软件部署？,类图,部署图,状态图,活动图,,B,UML,单选题
380,在UML类图中，表示整体与部分关系且部分可以独立存在的关系是？,依赖关系,组合关系,聚合关系,泛化关系,,C,UML,单选题
381,顺序图中，表示消息发送者暂停活动等待回应的消息类型是？,异步消息,同步消息,返回消息,创建消息,,B,UML,单选题
382,在活动图中，用于分割活动图并明确活动负责对象的元素是？,判定,同步条,泳道,守护条件,,C,UML,单选题
383,UML类图中，表示继承关系的是？,依赖关系,实现关系,泛化关系,关联关系,,C,UML,单选题
384,在状态图中，入口动作的表示方式是？,do/动作,exit/动作,entry/动作,event/动作,,C,UML,单选题
385,下列哪种图强调对象间消息传递的时间次序？,类图,状态图,顺序图,组件图,,C,UML,单选题
386,在包图中，包中元素只能被同属于一个包的内含元素访问的可见性是？,Public,Private,Protected,Package,,B,UML,单选题
387,组件图中，为其他组件提供服务的接口称为？,导入接口,导出接口,实现接口,依赖接口,,B,UML,单选题
388,在状态图中，源状态与目标状态是同一状态的转移称为？,自动迁移,自身迁移,条件迁移,事件迁移,,B,UML,单选题
389,"UML类图中，多重性""1..*""表示的意思是？",零个或一个,恰好一个,零个或多个,一个或多个,,D,UML,单选题
390,活动图实质上是哪种图的扩展形式？,用例图,状态图,类图,顺序图,,B,UML,单选题
391,瀑布模型最大的缺点是？,开发成本高,开发周期长,文档要求多,缺乏灵活性，无法适应需求变更,,D,软件过程,单选题
392,在软件维护类型中，为了适应软硬件环境的变化而进行的维护活动属于？,改正性维护,适应性维护,完善性维护,预防性维护,,B,软件过程,单选题
393,哪种模型特别适用于需求不明确、需要快速构建一个可运行版本以供用户反馈的场景？,瀑布模型,快速原型模型,增量模型,喷泉模型,,B,软件过程,单选题
394,“黑盒测试”也称为？,结构测试,功能测试,性能测试,单元测试,,B,软件测试,单选题
395,UML的全称是？,统一建模语言,通用标记语言,用户模式语言,唯一模块库,,A,UML,单选题
396,软件需求规格说明书是哪个阶段的产物？,可行性研究,需求分析,概要设计,编码,,B,软件过程,单选题
397,“白盒测试”方法主要在哪个阶段进行？,单元测试,集成测试,系统测试,验收测试,,A,软件测试,单选题
398,在Scrum团队中，保证团队高效工作，排除外界干扰的角色是？,产品负责人 (Product Owner),项目发起人,Scrum主管 (Scrum Master),开发团队成员,,C,软件过程,单选题
399,“个体和交互胜过过程和工具”是哪项宣言的内容？,软件工程宣言,面向对象宣言,敏捷软件开发宣言,结构化方法宣言,,C,软件过程,单选题
400,以下哪种开发方法不属于敏捷开发方法？,极限编程(XP),Scrum,水晶方法(Crystal),瀑布模型,,D,软件过程,单选题
401,哪个阶段的主要任务是发现软件中存在的缺陷？,编码,软件设计,需求分析,软件测试,,D,软件过程,单选题
402,在Scrum中，一次迭代（冲刺）的周期通常是？,1-2天,2-4周,2-3个月,半年,,B,软件过程,单选题
403,软件工程学科的出现是为了解决什么问题？,硬件成本过高,计算机病毒,软件危机,操作系统复杂性,,C,软件工程概述,单选题
404,软件工程三要素不包括以下哪个？,过程,方法,人员,工具,,C,软件工程概述,单选题
405,可行性研究报告的输出是在哪个阶段完成的？,需求分析,可行性研究,概要设计,软件测试,,B,软件过程,单选题
406,软件工程三要素不包括以下哪个？,过程,方法,人员,工具,,C,软件工程概述,单选题
407,以下哪项是典型的面向对象软件开发模型，体现了迭代和无间隙特性？,瀑布模型,螺旋模型,增量模型,喷泉模型,,D,软件过程,单选题
408,可行性研究报告的输出是在哪个阶段完成的？,需求分析,可行性研究,概要设计,软件测试,,B,软件过程,单选题
409,以下哪项不是产生软件危机的原因？,软件本身的复杂性,硬件性能的飞速发展,忽略了需求分析的重要性,缺乏统一规范的方法指导,,B,软件工程概述,单选题
410,“燃尽图”是哪种开发方法中常用的项目跟踪工具？,瀑布开发,Scrum敏捷开发,原型开发,螺旋开发,,B,软件过程,单选题
411,在统一软件过程（RUP）模型中，哪个阶段的目标是把开发的产品提交给用户使用？,初始阶段,细化阶段,构建阶段,产品化阶段,,D,软件过程,单选题
412,用于版本控制的配置管理工具是？,Visio,禅道,JUnit,Git,,D,软件工程概述,单选题
413,软件的定义中，除了程序和数据，还包括什么？,代码注释,硬件设备,相关的文档,开发人员,,C,软件工程概述,单选题
414,在通信图中，对象之间的连接用哪种线表示？,虚线,实线,点划线,双实线,,B,UML,单选题
415,在活动图中，表示并发执行的元素是？,判定,同步条,泳道,守护条件,,B,UML,单选题
416,状态图中，对象在同一时刻可以处在多种状态的状态称为？,复合状态,并发状态,初始状态,终止状态,,B,UML,单选题
417,下列哪种关系表示类之间的强关联且有共同的生命周期？,依赖关系,聚合关系,组合关系,泛化关系,,C,UML,单选题
418,对象图与类图的主要区别是什么？,对象图显示操作而类图不显示,对象图显示属性的当前值而类图显示属性特征,对象图显示类之间的关系而类图不显示,对象图显示继承关系而类图显示关联关系,,B,UML,单选题
419,"在类图中，""1""的多重性表示的意思是？",零个或一个,恰好一个,零个或多个,一个或多个,,B,UML,单选题
420,顺序图中，交互片段的loop操作符表示什么？,条件执行,循环执行,并行执行,可选执行,,B,UML,单选题
421,一个对象图与类图的主要区别在于，对象图不包含类的哪个部分？,类名,属性,操作,关系,,C,UML,单选题
422,在顺序图中，带有普通箭头的实线表示什么消息？,同步消息,异步消息,返回消息,创建消息,,B,UML,单选题
423,在类图中，表示实现关系的符号是？,带空心三角形的实线,带空心三角形的虚线,带实心菱形的实线,带箭头的虚线,,B,UML,单选题
424,在状态图中，`do/活动`表示什么？,进入该状态时执行一次的动作,退出该状态时执行一次的动作,系统处于该状态时持续进行的活动,触发状态转移的事件,,C,UML,单选题
